id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,remark
0,小河内ダム専用鉄道水根沢駅,"[35.794035, 139.047422]",interview,"　ダム建設のため、国鉄氷川駅（現在のJR奥多摩駅）～水根沢駅間に6.731㎞の専用鉄道が敷設され、工事用資材が輸送されました。水根地区(旧氷川村境）には終点の水根沢駅があり、水没による移転は免れたものの、大規模工事の影響は避けられませんでした。「工事で石が飛んできて屋根に穴が開いたりして、毎日怯えて生活していたそうです。ダムのために山を崩したわけだから、相当な爆破でしょう。音も石も飛んでくる。当時の家の屋根は杉の皮でできていたから、石が貫通しちゃったみたい。」〔河村美子さん／68才（昭和32年生まれ）。水根地区出身。〕と、大規模工事が行われた水根地区ならではのお話を聞くことができました。
　",https://maps.app.goo.gl/FykRJEydJyUES1j19,,,,,,
1,鶴の湯,"[35.77994687090152, 139.0320467949708]",interview,"鶴の湯は、打撲・捻挫・頭痛などに効果があるとして、古くから親しまれている名湯です。600年以上の歴史があり、都から近い温泉として多くの人が訪れました。「鶴の湯」という名は、傷ついた鶴が湯に浸かり、傷を癒したことに由来しています。
「温泉神社の横に四角い池が２つあって、そこから温泉が出ていました。ひとつは古くてお湯があまりなかったけれど、新しい方にはボコボコ湧いていた。お湯がどーっと流れて滝になっていて、滝つぼには湯治客がいました。あるとき、上級生がいたずらでそこに生きたヘビを流したんです。湯治客のところに落ちて、騒ぎになっていました（笑）」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕
「炭を売る商売をしていたおじいさんの話によると、馬を引いて氷川のほうに炭を運ぶときに、通り道に温泉が湧いているところがあって、そこに渋柿を突っ込んでいったそうです。そうすると、帰ってくる頃には渋が抜けていたんだって」〔島崎幸子さん／79才（昭和22年生まれ）。留浦地区へ嫁入〕
と、鶴の湯温泉が生活の一部だったことが伺えます。ダム建設により、鶴の湯源泉は湖底に沈みましたが、平成３年に都水道局により導水管で汲み上げる給湯場が設置され、現在も小河内荘をはじめ旅館や一般家庭に提供されています。
※写真中央には町火消「い組」から寄進された灯明台が見えます。",https://maps.app.goo.gl/EsxzdnmwcEPP4HXW6,,,,,,
2,馬頭観音堂,"[35.7779666937739, 139.0150630474091]",interview,"馬頭観音は、畜生道に迷う人々を救済する神様です。また、家畜の安全と健康を祈り、旅の道中を守り、馬を供養するといわれています。馬頭観音の石仏は、町内でも約30か所と多くあります。麦山地区の山の上にかつてあった馬頭観音堂では、毎年１月18日になると、村内だけでなく近隣の村からもきれいに飾った馬を連れた人々が集まり、１年の無事を願って絵馬を納めました。
「馬にお飾りをさせて、辺りを回ったりして、えらく賑やかでした」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,,,,,,
3,木下製材,"[35.776147498604104, 139.01460170745852]",interview,"奥多摩町域では、江戸時代後期からいわゆる青梅林業という丸太材のため、杉檜を植栽する林業が起こりました。山から切り出した木を川に流して下流に運ぶため、製材所は川付近に建てられました。麦山地区にあった木下製材は、木を切る際に電力を使うのではなく、川の水流を利用して水車を回し、水力で丸ノコを動かしました。
「当時の道路は幅が狭くて、ガードレールはないし、舗装もされていないから、雨が降るとぬかるむ場所があった。だから、村外からやってきた車なんかが、ときどき川に落っこちていた。そうすると集落の人がみんな出てきて、下の製材工場まで車を引いていったんですよ。工場まで行けば、川に木材を運ぶ道ができているから、車を上の道に戻すことができた。」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕
",,,,,,,
4,竹林堂,"[35.77767075098307, 139.01243984699252]",interview,"麦山地区にかつてあった駄菓子屋「竹林堂」。
「山の道を降りて学校に向かう途中、ここに寄って10銭で飴を買うのが楽しみでした」〔酒井常子さん／98才（昭和２年生まれ）。峰地区出身。〕
当時、小河内村には東尋常小学校と西尋常小学校・峰分教場（分校）があり、合同行事の際、峰地区の分校に通う児童たちは川野地区の本校へ徒歩で出向きました。昭和15（1940）年、分校に通っていた酒井常子さんは、本校で紀元二千六百年記念（神武天皇即位2600年）の式典に参加するため、赤い袴姿で１時間以上歩いたそうです。",,,,,,,
5,木炭バスを押した坂道,"[35.775573007271426, 138.99935603141788],[35.78258412904612, 139.03854846954349]",interview,"昭和20～30年代頃、小河内村にはボンネットバス（木炭バス）が走っていました。タイヤが運転席より前にあるため、小河内の狭い道には適していたようです。
「後ろに木炭を積んだ木炭バスは馬力がなくて、坂道なんかで止まってしまう。家の近くに急な坂があって、大人たちが『もう少しだ』なんて言いながらバスを押しているのをよく見ました」〔島崎軍司さん／81才（昭和20年生まれ）。川野地区出身〕と、心温まるエピソードです。",,,,,,,
6,島勝,"[35.777829, 138.990411]",interview,"川野地区から留浦地区へ移転し、令和６（2024）年まで親しまれていたお食事処「島勝」。雑貨店や食堂と幅広い営業をされていました。
かつての奥多摩湖には、釣りを目当てに訪れる人が多くいました。釣り大会も開かれ、留浦浮橋（ドラム缶橋）で釣りをしている人が130人もいたそうです。
「とくにワカサギはよく釣れたよ。当時の冬はいまより寒くて、夜なんか水温の方が温かいから、釣り上げたワカサギが凍ってピタッと動きが止まったもんだね。奥多摩湖は遊覧船を走らせてないから、水がきれいで魚がおいしい。だから釣り人に人気でした。うちも朝６時から店を開けて釣り人に朝ごはんを出したり、ワカサギの餌や釣具なんかを売っていた。」
その他に、「切符を売る仕事も委託されてやっていました。手数料３%だから、いい仕事ではなかったんだけどね。土日は臨時バスが出ていて、山登り客がバス停にずらーっと並んでいた。そんな感じで、当時の奥多摩には登山をする大学生とか若い人がいっぱいいた。」〔島崎軍司さん／81才（昭和20年生まれ）。川野地区出身〕
と、観光客のみなさんのニーズに応えてくれたお店でした。",https://maps.app.goo.gl/6GUSC8CSETAcpwym6,,,,,,
7,峰谷川渓流釣場,"[35.794430, 139.004178]",interview,"峰地区。昭和32年10月、小河内村内の小学校と中学校は、ダム竣工とともに小河内小学校・小河内中学校としてそれぞれ１つに統合されました。役目を終えた峰分教場（分校）は、浴場を備えたヘルスセンターとして改装し、開業しました。
昭和57年、ヘルスセンターはさらにリニューアルし、峰谷川渓流釣場として開業しました。現在は、3月～11月に開設し、営業しています。",https://maps.app.goo.gl/dVwJtpaa1mnDnCiFA,,,,,,
8,熱海の井戸,"[35.7830497744553, 139.04176712036136]",interview,"「熱海」という地名は、日当たりがよく地熱が高くなるところにつけられます。熱海地区も井戸から湯気が出ていることがあったことに由来するそうです。
「熱海の川は、途中から崖になっていて水を汲みに行けないから、集落に２～３箇所ある井戸をみんな利用していました」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕",,,,,,,
9,湖底へ続く道,"[35.786279, 139.042859]",interview,"湖底にある旧道と現在の新道の中間にある付替道路の出入口。水没対象地域から移転する時は、この付替道路道（車道）を通って新たな地へと向かいました。
「大人がトラックを運転して、子どもたちは荷台に乗って、この道沿いの水門が見えるところまで行きました。式典の鳩が飛んでいた気がします。水門が閉まると、川の水がどんどんたまっていきました」〔島﨑治二さん／●才（昭和●年生まれ）。川野地区出身〕
昭和32年6月6日、排水路の水門が閉鎖し、奥多摩湖への湛水が始まりました。その様子を対岸の付替道路の出入口付近で見たという島﨑さんの印象深いエピソードです。",https://maps.app.goo.gl/jYHD263csWJ3fP4s5,,,,,,
10,寺の跡地,"[35.78041589176191, 139.036534113836]",interview,"出野・原地区の門覚寺跡地は、青年団が陸上の練習をするのに使われていました。
「その頃は青年団の活動が盛んで、西多摩郡の陸上大会などもありました。小河内村でも、各集落ごとに対抗試合をしていた。河内集落が強くてね。河内は教員住宅に住む先生もいて足が速い人が多かった。だから河内はいつも１等賞で、子どもながらに悔しかったね」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕
各地区の空き地やグラウンドのような場所は、年頃の若者達の出会いと交流の場だったようです。",,,,,,,
111,集落間で競ったどんど焼き,"[35.77485923953054, 139.0047097206116],[35.776069159121334, 139.00376558303836]",interview,昭和初期頃まで、１月14・15・16・20の４日間にわたって行われた「せえの神（さいの神）祭りで、お正月飾りのオッカドボウ・アウボ・ヒエボ、御札や御守をお焚き上げをします（「どんど焼き」）。この火に温まれば年中無病息災、枝にさした「まゆ玉」を火で焦がして食べると風邪にかかることがないと言われています。かつては川野・青木・麦山・南・河内・湯場・原・熱海など多くの地区で、地区の境界を守護した道祖神の近くで行われたようです。「負けないようにみんなでお松を集めて、朝までやっていましたね。」〔島﨑治二さん／●才（昭和●年生まれ）。川野地区出身〕と、炎の大きさを競ったというお話も聞きました。現在では、川野地区のみで開催されています。,https://maps.app.goo.gl/obwi1friYxVcMokj9,,,,,,
