id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,bearing,remark
0,工事の思い出（小河内ダム専用鉄道水根沢駅）,"[35.794035, 139.047422]",interview,ダム建設のため、国鉄氷川駅（現在のJR奥多摩駅）～水根沢駅間に6.731㎞の専用鉄道が敷設され、工事用資材が輸送されました。水根地区(旧氷川村境）には終点の水根沢駅があり、水没による家屋移転は免れたものの、大規模工事の影響は避けられませんでした。「工事で石が飛んできて屋根に穴が開いたりして、毎日怯えて生活していたそうです。ダムのために山を崩したわけだから、相当な爆破でしょう。音も石も飛んでくる。当時の家の屋根は杉の皮でできていたから、石が貫通しちゃうみたい。」〔河村美子さん／68才（昭和32年生まれ）。水根地区出身〕と、大規模工事が行われた水根地区ならではのお話を聞くことができました。,https://maps.app.goo.gl/FykRJEydJyUES1j19,,,,,,,
1,鶴の湯,"[35.77994687090152, 139.0320467949708]",folktale,"鶴の湯は、打撲・捻挫・頭痛などに効果があるとして、古くから親しまれている名湯です。温泉としての利用が始まったのは、延文年間（1356～61）頃といわれ、都から近い温泉地として多くの人が訪れました。「鶴の湯」という名は、傷ついた鶴が湯に浸かり、傷を癒したことに由来しています。
「温泉神社の横に四角い池が２つあって、そこから温泉が出ていました。ひとつは古くてお湯があまりなかったけれど、新しい方にはボコボコ湧いていた。お湯がどーっと流れて滝になっていて、滝つぼには湯治客がいました。あるとき、上級生がいたずらでそこに生きたヘビを流したんです。湯治客のところに落ちて、騒ぎになっていました（笑）」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕
「炭を売る商売をしていたおじいさんの話によると、馬を引いて氷川のほうに炭を運ぶときに、通り道に温泉が湧いているところがあって、そこに渋柿を突っ込んでいったそうです。そうすると、帰ってくる頃には渋が抜けていたんだって」〔島崎幸子さん／78才（昭和22年生まれ）。留浦地区へ嫁入〕
と、鶴の湯温泉が生活の一部だったことが伺えます。ダム建設により、鶴の湯源泉は湖底に沈みましたが、平成３年に都水道局により導水管で汲み上げる給湯場が設置され、現在も小河内荘をはじめ町内の旅館や一般家庭に提供されています。
※写真中央には嘉永７（1854）年に町火消「い組」から寄進された灯明台が見えます（現在は奥多摩水と緑のふれあい館「石碑の小径」に移設）。",https://maps.app.goo.gl/EsxzdnmwcEPP4HXW6,,鶴の湯事始め,鶴の湯事始め,tsurunoonsen-kotohazime,,,
2,馬の飾り（馬頭観音堂）,"[35.7779666937739, 139.0150630474091]",interview,"馬頭観音は、畜生道に迷う人々を救済する神様です。また、家畜の安全と健康を祈り、旅の道中を守り、馬を供養するといわれています。馬頭観音の石仏は、町内でも約30か所と多くあります。麦山地区の山の上にかつてあった馬頭観音堂では、毎年１月18日になると、村内だけでなく近隣の村からもきれいに飾った馬を連れた人々が集まり、１年の無事を願って絵馬を納めました。
「馬にお飾りをさせて、辺りを回ったりして、えらく賑やかでした」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,,,,,,,
3,小河内の林業（木下製材）,"[35.776147498604104, 139.01460170745852]",interview,"奥多摩町域では、江戸時代後期からいわゆる「青梅林業」という丸太材のため、杉檜を植栽する林業が起こりました。山から切り出した木を川に流して下流に運ぶため、製材所は川付近に建てられました。麦山地区にあった木下製材は、木を切る際に電力を使うのではなく、川の水流を利用して水車を回し、水力で丸ノコを動かしました。
「当時の道路は幅が狭くて、ガードレールはないし、舗装もされていないから、雨が降るとぬかるむ場所があった。だから、村外からやってきた車なんかが、ときどき川に落っこちていた。そうすると集落の人がみんな出てきて、下の製材工場まで車を引いていったんですよ。工場まで行けば、川に木材を運ぶ道ができているから、車を上の道に戻すことができました。」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",,,,,,,,
4,通学の思い出（竹林堂）,"[35.77767075098307, 139.01243984699252]",interview,"麦山地区にかつてあった駄菓子屋「竹林堂」。
「山の道を降りて学校に向かう途中、ここに寄って10銭で飴を買うのが楽しみでした」〔酒井常子さん／98才（昭和２年生まれ）。峰地区出身。〕
当時、小河内村には東尋常小学校と西尋常小学校・明治分教場（分校）があり、合同行事の際、峰地区の分校に通う児童たちは川野地区の本校へ徒歩で出向きました。昭和15（1940）年、峰分校に通っていた酒井常子さんは、本校で紀元二千六百年記念（神武天皇即位2600年）の式典に参加するため、赤い袴姿で１時間以上歩いたそうです。",,,,,,,,
5,木炭バスを押した坂道,"[35.775573007271426, 138.99935603141788],[35.78258412904612, 139.03854846954349]",interview,"昭和20～30年代頃、小河内村にはボンネットバス（木炭バス）が走っていました。タイヤが運転席より前にあるため、小河内の狭い道には適していたようです。
「後ろに木炭を積んだ木炭バスは馬力がなくて、坂道なんかで止まってしまう。家の近くに急な坂があって、大人たちが『もう少しだ』なんて言いながらバスを押しているのをよく見ました」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
「ボンネットバスを人力で押した」というのは、インタビューをした多くの方に共通していたエピソードで、小河内村の各地区で見られた光景だったようです。",,,,,,,,
6,観光で賑わった島勝,"[35.777829, 138.990411]",interview,"川野地区から留浦地区へ移転し、令和６（2024）年まで親しまれていたお食事処「島勝」。雑貨店や食堂と幅広い営業をされていました。
奥多摩湖には、釣りを目当てに訪れる人が多くいました。釣り大会も開かれ、留浦浮橋（ドラム缶橋）で釣りをしている人が130人もいたそうです。
「とくにワカサギはよく釣れたよ。当時の冬は今より寒くて、夜なんか水温の方が温かいから、釣り上げたワカサギが凍ってピタッと動きが止まったもんだね。奥多摩湖は遊覧船を走らせてないから、水がきれいで魚がおいしい。だから釣り人に人気でした。うちも朝６時から店を開けて朝ごはんを出したり、ワカサギの餌や釣具なんかを売っていました」
その他に、「切符を売る仕事も委託されてやっていた。手数料３%だから、いい仕事ではなかったんだけどね。土日は臨時バスが出ていて、山登り客がバス停にずらーっと並んでいた。そんな感じで、当時の奥多摩には登山をする大学生とか若い人がいっぱいいました」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
と、観光客のみなさんのニーズに応えてくれたお店でした。",https://maps.app.goo.gl/6GUSC8CSETAcpwym6,,,,,,,
7,峰谷川渓流釣場,"[35.794430, 139.004178]",current,"峰地区にある釣場。昭和32年10月、小河内村にあった３つの小学校（本校と２つの分校）は、ダム竣工とともに小河内小学校として１つに統合されました（中学校も小河内小学校に隣に新設）。役目を終えた明治分教場（分校）は、浴場を備えたヘルスセンターとして改装し、開業しました。
昭和57年にヘルスセンターから峰谷川渓流釣場とリニューアルしました。現在は、3月～11月の日曜から月曜に開設し、ヤマメ・イワナ・ニジマスが釣れます。また、新たな奥多摩の名物「やまぼこ」（奥多摩ヤマメをすり身にし、練り物にして揚げた）は町内のイベントや町内の飲食店で食べることができます。",https://maps.app.goo.gl/dVwJtpaa1mnDnCiFA,https://minedani.jp,峰谷川渓流釣場HP,,,,,
8,熱海の井戸,"[35.7830497744553, 139.04176712036136]",interview,"「熱海」という地名は、日当たりがよく地熱が高くなるところに付けられるようで、熱海地区も井戸から湯気が出ていたことに由来するそうです。
「熱海の川は、途中から崖になっていて水を汲みに行けないから、集落に２～３箇所ある井戸をみんな利用していました」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕",,,,,,,,
9,湖底へ続く道,"[35.786279, 139.042859]",interview,"付替道路（主に現在の国道411号線）は湖底に沈んだ旧道と並行して奥多摩湖添いに新設されました。その付替道路から旧道へと交わる場所が現在の小河内郵便局向いにあり、湖底へと続く道の一部を見ることができます。
「大人がトラックを運転して、子どもたちは荷台に乗って、この道沿いの水門が見えるところまで行きました。式典の鳩が飛んでいた気がします。水門が閉まると、川の水がどんどんたまっていきました」〔島崎治二さん／80才（昭和21年生まれ）。川野地区出身〕
昭和32年6月6日、排水路の水門が閉鎖し、奥多摩湖への湛水が始まりました。その様子を対岸の付替道路で見たという島崎さんの印象深いエピソードです。",https://maps.app.goo.gl/jYHD263csWJ3fP4s5,,,,,,,
